match_date,strategy,p1_name,p2_name,bet_side,odds,stake,won,pnl,bankroll_after
2026-01-04,flat_random,Camilo Ugo Carabelli,Learner Tien,P1,4.9,1.0,0,-1.0,89.97
2026-01-05,flat_random,Adrian Mannarino,Marin Cilic,P2,1.76,1.0,1,0.76,90.73
2026-01-05,flat_random,Damir Dzumhur,Nuno Borges,P1,2.75,1.0,0,-1.0,89.73
2026-01-05,flat_random,Yibing Wu,Fabian Marozsan,P2,1.71,1.0,0,-1.0,88.73
2026-01-05,flat_random,Marton Fucsovics,Daniil Medvedev,P1,3.65,1.0,0,-1.0,87.73
2026-01-05,flat_random,Quentin Halys,Alexei Popyrin,P1,2.285,1.0,1,1.285,89.015
2026-01-05,flat_random,Kamil Majchrzak,Daniel Altmaier,P2,1.78,1.0,0,-1.0,88.015
2026-01-05,flat_random,Reilly Opelka,Dane Sweeny,P1,1.51,1.0,1,0.51,88.525
2026-01-05,flat_random,Valentin Vacherot,Sebastian Korda,P2,1.48,1.0,1,0.48,89.005
2026-01-05,flat_random,Tomas Machac,Jiri Lehecka,P2,1.455,1.0,1,0.455,89.46
2026-01-05,flat_random,James Duckworth,Alex Michelsen,P2,1.64,1.0,1,0.64,90.1
2026-01-06,flat_random,Marcos Giron,Laslo Djere,P2,2.12,1.0,0,-1.0,89.1
2026-01-06,flat_random,Michael Mmoh,Alejandro Tabilo,P2,1.52,1.0,0,-1.0,88.1
2026-01-06,flat_random,Alexandre Muller,Miomir Kecmanovic,P1,2.25,1.0,1,1.25,89.35
2026-01-06,flat_random,Lorenzo Sonego,Rei Sakamoto,P1,1.44,1.0,1,0.44,89.79
2026-01-06,flat_random,Jesper de Jong,Gabriel Diallo,P1,2.75,1.0,0,-1.0,88.79
2026-01-06,flat_random,Francisco Comesana,Juncheng Shang,P2,1.48,1.0,1,0.48,89.27
2026-01-06,flat_random,Grigor Dimitrov,Pablo Carreno Busta,P1,1.425,1.0,1,0.425,89.695
2026-01-06,flat_random,Cameron Norrie,Ugo Humbert,P1,2.12,1.0,1,1.12,90.815
